id,price,room_type,minimum_nights,,,,,,,,,
3379116,282,Entire home/apt,2,,,,,,,,,
2298775,60,Private room,7,,,,,,,,,
2358140,82,Entire home/apt,30,,,,,,,,,
2391699,46,Private room,2,,,,,,,,,
3385421,510,Entire home/apt,30,,,,,,,,,
2396734,222,Entire home/apt,3,,,,,,,,,
3405896,150,Entire home/apt,6,,,,,,,,,
3426639,33,Private room,30,,,,,,,,,
2441908,137,Entire home/apt,3,,,,,,,,,
3441450,294,Entire home/apt,6,,,,,,,,,
2446384,60,Private room,1,,,,,,,,,
3441487,250,Entire home/apt,30,,,,,,,,,
3463245,98,Private room,30,,,,,,,,,
2459519,921,Entire home/apt,4,,,,,,,,,
2471659,78,Entire home/apt,2,,,,,,,,,
3505739,206,Entire home/apt,30,,,,,,,,,
3505829,671,Entire home/apt,4,,,,,,,,,
3510818,160,Entire home/apt,8,,,,,,,,,
2474569,66,Private room,2,,,,,,,,,
3535171,66,Private room,30,,,,,,,,,
2486612,121,Entire home/apt,1,,,,,,,,,
3543247,240,Entire home/apt,1,,,,,,,,,
2522091,220,Entire home/apt,3,,,,,,,,,
3594959,180,Entire home/apt,30,,,,,,,,,
2536507,180,Entire home/apt,2,,,,,,,,,
3652078,100,Entire home/apt,90,,,,,,,,,
3659621,132,Entire home/apt,30,,,,,,,,,
2578855,98,Entire home/apt,3,,,,,,,,,
3673011,69,Private room,30,,,,,,,,,
2586350,96,Entire home/apt,5,,,,,,,,,
2586642,261,Entire home/apt,2,,,,,,,,,
2612399,101,Entire home/apt,5,,,,,,,,,
3678718,82,Entire home/apt,2,,,,,,,,,
3689119,85,Entire home/apt,30,,,,,,,,,
2614238,79,Entire home/apt,30,,,,,,,,,
3706719,115,Entire home/apt,4,,,,,,,,,
2614387,72,Private room,2,,,,,,,,,
2630912,155,Private room,59,,,,,,,,,
3739681,135,Entire home/apt,30,,,,,,,,,
2638086,130,Entire home/apt,3,,,,,,,,,
3766055,50,Private room,30,,,,,,,,,
2642359,50,Private room,1,,,,,,,,,
3772674,111,Entire home/apt,3,,,,,,,,,
2652941,112,Entire home/apt,1,,,,,,,,,
3773845,13,Private room,365,,,,,,,,,
2670365,65,Private room,30,,,,,,,,,
3818746,400,Entire home/apt,7,,,,,,,,,
2686374,264,Entire home/apt,1,,,,,,,,,
3821822,95,Entire home/apt,4,,,,,,,,,
2692126,168,Entire home/apt,2,,,,,,,,,
3835995,84,Entire home/apt,30,,,,,,,,,
2693672,192,Entire home/apt,4,,,,,,,,,
2693700,135,Entire home/apt,2,,,,,,,,,
3861673,88,Entire home/apt,1,,,,,,,,,
2710274,71,Private room,30,,,,,,,,,
2721575,78,Entire home/apt,30,,,,,,,,,
3898413,64,Private room,30,,,,,,,,,
2727808,95,Entire home/apt,14,,,,,,,,,
3906076,130,Entire home/apt,3,,,,,,,,,
2731253,169,Entire home/apt,3,,,,,,,,,
3908378,140,Entire home/apt,2,,,,,,,,,
2760312,293,Entire home/apt,3,,,,,,,,,
3926008,140,Entire home/apt,30,,,,,,,,,
3953611,165,Entire home/apt,30,,,,,,,,,
3959460,154,Entire home/apt,30,,,,,,,,,
2809796,103,Entire home/apt,2,,,,,,,,,
3992155,65,Entire home/apt,30,,,,,,,,,
4025954,90,Entire home/apt,30,,,,,,,,,
4026757,255,Entire home/apt,1,,,,,,,,,
2830174,71,Private room,30,,,,,,,,,
4030640,131,Entire home/apt,2,,,,,,,,,
4046863,257,Entire home/apt,1,,,,,,,,,
4053972,116,Entire home/apt,10,,,,,,,,,
2847177,113,Entire home/apt,30,,,,,,,,,
4069543,109,Private room,1,,,,,,,,,
2874608,132,Entire home/apt,30,,,,,,,,,
2882641,315,Entire home/apt,4,,,,,,,,,
4100009,105,Entire home/apt,2,,,,,,,,,
4113197,195,Entire home/apt,30,,,,,,,,,
2923529,230,Entire home/apt,2,,,,,,,,,
4129218,180,Entire home/apt,1,,,,,,,,,
2931922,145,Entire home/apt,2,,,,,,,,,
2935486,306,Entire home/apt,1,,,,,,,,,
4137114,183,Entire home/apt,3,,,,,,,,,
4165554,108,Entire home/apt,2,,,,,,,,,
2948548,115,Entire home/apt,30,,,,,,,,,
4170863,130,Entire home/apt,3,,,,,,,,,
4287974,147,Entire home/apt,30,,,,,,,,,
4324917,80,Private room,2,,,,,,,,,
4340838,139,Entire home/apt,1,,,,,,,,,
4204939,215,Entire home/apt,2,,,,,,,,,
4364624,141,Entire home/apt,2,,,,,,,,,
4400811,176,Entire home/apt,5,,,,,,,,,
4211081,295,Entire home/apt,2,,,,,,,,,
4409731,90,Entire home/apt,180,,,,,,,,,
4211629,125,Entire home/apt,30,,,,,,,,,
4236723,303,Entire home/apt,1,,,,,,,,,
4429898,92,Entire home/apt,30,,,,,,,,,
4250367,800,Entire home/apt,3,,,,,,,,,
4270642,80,Entire home/apt,30,,,,,,,,,
4432489,100,Entire home/apt,30,,,,,,,,,
4276672,125,Entire home/apt,30,,,,,,,,,
4279578,99,Entire home/apt,1,,,,,,,,,
4286182,135,Entire home/apt,2,,,,,,,,,
5989276,100,Entire home/apt,30,,,,,,,,,
4439293,155,Entire home/apt,3,,,,,,,,,
5991734,132,Entire home/apt,1,,,,,,,,,
4440686,450,Entire home/apt,3,,,,,,,,,
4464110,70,Entire home/apt,30,,,,,,,,,
6002165,325,Entire home/apt,4,,,,,,,,,
6020821,278,Entire home/apt,1,,,,,,,,,
4484426,175,Entire home/apt,30,,,,,,,,,
4521755,184,Entire home/apt,2,,,,,,,,,
6032726,700,Entire home/apt,30,,,,,,,,,
6053606,350,Entire home/apt,1,,,,,,,,,
4550199,599,Entire home/apt,4,,,,,,,,,
6079581,296,Entire home/apt,3,,,,,,,,,
6087451,131,Entire home/apt,30,,,,,,,,,
6117473,50,Private room,30,,,,,,,,,
4588514,125,Entire home/apt,30,,,,,,,,,
6133354,155,Entire home/apt,30,,,,,,,,,
4608208,90,Private room,2,,,,,,,,,
6153532,110,Entire home/apt,2,,,,,,,,,
6166307,131,Entire home/apt,2,,,,,,,,,
4616634,90,Entire home/apt,1,,,,,,,,,
6168975,199,Entire home/apt,2,,,,,,,,,
4629020,178,Entire home/apt,5,,,,,,,,,
6187841,299,Entire home/apt,30,,,,,,,,,
4653552,116,Entire home/apt,3,,,,,,,,,
6202214,120,Entire home/apt,30,,,,,,,,,
6202985,90,Private room,30,,,,,,,,,
4681687,75,Entire home/apt,2,,,,,,,,,
6214517,140,Entire home/apt,30,,,,,,,,,
6222790,110,Entire home/apt,80,,,,,,,,,
4693488,138,Entire home/apt,5,,,,,,,,,
6245498,121,Entire home/apt,2,,,,,,,,,
6248083,825,Entire home/apt,3,,,,,,,,,
4711069,328,Entire home/apt,2,,,,,,,,,
6263270,257,Entire home/apt,2,,,,,,,,,
6288101,200,Entire home/apt,30,,,,,,,,,
4725935,29,Shared room,30,,,,,,,,,
4738971,70,Entire home/apt,30,,,,,,,,,
6304139,95,Entire home/apt,30,,,,,,,,,
6327662,85,Entire home/apt,30,,,,,,,,,
4752817,318,Entire home/apt,3,,,,,,,,,
6358529,100,Entire home/apt,30,,,,,,,,,
4760472,102,Entire home/apt,2,,,,,,,,,
6365330,263,Entire home/apt,5,,,,,,,,,
4760968,90,Private room,1,,,,,,,,,
4825472,35,Private room,30,,,,,,,,,
6376139,144,Entire home/apt,3,,,,,,,,,
4871348,100,Entire home/apt,14,,,,,,,,,
6423488,199,Entire home/apt,30,,,,,,,,,
4879013,150,Entire home/apt,4,,,,,,,,,
6438518,157,Entire home/apt,2,,,,,,,,,
4881141,160,Entire home/apt,30,,,,,,,,,
6445769,133,Entire home/apt,2,,,,,,,,,
